| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 133766 | 0.802 | 3.990 | 11.908 | 574.200 | 2.137 |
| W2 | 133757 | 0.148 | 0.442 | 1.943 | 179.598 | 0.265 |
| W3 | 133757 | 0.027 | 0.139 | 3.856 | 84.636 | 0.160 |
| W4 | 10 | 0.659 | 0.962 | 0.962 | 0.962 | 0.686 |
| W6 | 10 | 1.333 | 1.548 | 1.548 | 1.548 | 1.242 |
| W7 | 133757 | 0.035 | 0.040 | 0.700 | 890.022 | 0.112 |
| W8 | 133757 | 0.029 | 0.030 | 1.669 | 141.859 | 0.166 |
| W9 | 133757 | 0.022 | 0.024 | 0.035 | 119.857 | 0.042 |
| W10 | 133757 | 3.403 | 12.299 | 18.728 | 200.504 | 5.749 |
| W12 | 133723 | 0.324 | 2.239 | 8.694 | 14663.206 | 1.182 |
| R1 | 133475 | 7.382 | 11.319 | 18.052 | 396.522 | 5.529 |
| R2hit | 87134 | 0.080 | 0.190 | 0.406 | 123.659 | 0.145 |
| R2miss | 19238 | 2.692 | 4.480 | 8.249 | 236.727 | 3.019 |
| R3 | 269 | 11.440 | 12.374 | 30.664 | 40.987 | 11.970 |
| R4 | 255 | 0.355 | 0.527 | 1.608 | 8.733 | 0.413 |
| R6 | 132888 | 0.520 | 1.313 | 5.086 | 209.893 | 0.824 |
| I1 | 10 | 1.335 | 1.513 | 1.513 | 1.513 | 1.309 |
| I2 | 10 | 3.416 | 3.712 | 3.712 | 3.712 | 3.289 |
| I3 | 20 | 1.310 | 1.611 | 1.688 | 1.688 | 1.044 |
| I4 | 10 | 0.403 | 0.552 | 0.552 | 0.552 | 0.423 |
| I5 | 10 | 0.023 | 0.039 | 0.039 | 0.039 | 0.025 |
| I6 | 9 | 744.280 | 2644.207 | 2644.207 | 2644.207 | 833.716 |
| I7 | 10 | 0.026 | 5.817 | 5.817 | 5.817 | 0.608 |
| I8 | 10 | 0.033 | 0.129 | 0.129 | 0.129 | 0.041 |
| R0_tls_h | 27103 | 0.026 | 0.034 | 0.084 | 137.583 | 0.071 |
