| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 134208 | 0.750 | 0.952 | 3.107 | 1857.337 | 0.864 |
| W2 | 134198 | 0.138 | 0.180 | 0.284 | 20.437 | 0.163 |
| W3 | 134198 | 0.022 | 0.042 | 0.200 | 19.041 | 0.081 |
| W4 | 420 | 0.629 | 0.662 | 0.941 | 6.213 | 0.664 |
| W6 | 420 | 1.210 | 1.256 | 1.461 | 7.959 | 1.228 |
| W7 | 134198 | 0.030 | 0.037 | 0.748 | 31.999 | 0.093 |
| W8 | 134198 | 0.025 | 0.026 | 0.054 | 32.496 | 0.080 |
| W9 | 134198 | 0.018 | 0.021 | 0.037 | 23.431 | 0.037 |
| W10 | 134198 | 3.070 | 3.741 | 9.779 | 90.794 | 3.270 |
| W12 | 134197 | 0.259 | 0.491 | 41.800 | 20028.693 | 13.143 |
| R1 | 104876 | 0.231 | 0.801 | 8.545 | 46.174 | 0.768 |
| R2hit | 45248 | 0.059 | 0.097 | 1.217 | 179.013 | 0.143 |
| R2miss | 15329 | 2.726 | 3.284 | 4.076 | 15.322 | 2.069 |
| R3 | 4792 | 12.411 | 199979.765 | 204988.096 | 220011.359 | 23208.114 |
| R4 | 3761 | 0.394 | 0.520 | 0.791 | 11.392 | 0.423 |
| R6 | 103837 | 0.058 | 0.527 | 26.275 | 30042.612 | 44.542 |
| I1 | 420 | 1.375 | 1.430 | 1.706 | 7.659 | 1.413 |
| I2 | 420 | 3.485 | 4.244 | 20.326 | 5016.558 | 39.486 |
| I3 | 681 | 0.884 | 1.760 | 2.170 | 27.367 | 1.271 |
| I4 | 420 | 0.487 | 0.712 | 0.941 | 1.012 | 0.502 |
| I5 | 420 | 0.028 | 0.032 | 0.036 | 17.582 | 0.109 |
| I6 | 419 | 369.634 | 1337.463 | 11150438.999 | 23951148.467 | 260679.656 |
| I7 | 417 | 0.029 | 0.031 | 0.035 | 6.420 | 0.058 |
| I8 | 417 | 0.030 | 0.032 | 0.088 | 7.491 | 0.066 |
| R0_tls_h | 44299 | 0.021 | 0.035 | 1.474 | 10.770 | 0.114 |
