| Stage | N | p50 µs | p90 µs | p99 µs | max µs | mean µs |
|---|---|---|---|---|---|---|
| W1 | 149779 | 0.759 | 0.992 | 3.242 | 74.856 | 0.865 |
| W2 | 149768 | 0.142 | 0.219 | 0.293 | 209.345 | 0.172 |
| W3 | 149768 | 0.023 | 0.181 | 0.419 | 209.217 | 0.106 |
| W4 | 1256 | 0.659 | 0.705 | 0.986 | 6.422 | 0.684 |
| W6 | 1256 | 1.310 | 1.488 | 1.733 | 7.907 | 1.337 |
| W7 | 149768 | 0.031 | 0.682 | 0.896 | 15.709 | 0.134 |
| W8 | 149768 | 0.025 | 0.027 | 0.043 | 24.589 | 0.079 |
| W9 | 149768 | 0.018 | 0.021 | 0.032 | 19.176 | 0.038 |
| W10 | 149768 | 3.105 | 3.777 | 10.019 | 87.307 | 3.308 |
| W12 | 149766 | 0.260 | 8.560 | 48.233 | 5177.580 | 3.131 |
| R1 | 133475 | 0.290 | 0.850 | 8.907 | 89.998 | 0.741 |
| R2hit | 62264 | 0.059 | 0.072 | 1.113 | 106.579 | 0.127 |
| R2miss | 18803 | 2.702 | 3.369 | 4.162 | 11.505 | 1.723 |
| R3 | 8674 | 12.603 | 13.749 | 24.208 | 55.776 | 12.879 |
| R4 | 7691 | 0.438 | 0.627 | 0.851 | 6.830 | 0.475 |
| R6 | 132484 | 0.058 | 0.596 | 24.370 | 5019.403 | 1.446 |
| I1 | 1256 | 1.489 | 1.656 | 6.187 | 13.339 | 1.572 |
| I2 | 1256 | 3.634 | 4.354 | 11.815 | 5019.928 | 27.655 |
| I3 | 2341 | 0.899 | 1.675 | 1.973 | 10.523 | 1.213 |
| I4 | 1256 | 0.420 | 0.609 | 0.838 | 14.747 | 0.470 |
| I5 | 1256 | 0.028 | 0.031 | 0.036 | 15.256 | 0.075 |
| I6 | 1254 | 266.259 | 925.842 | 1809.998 | 4789.089 | 391.042 |
| I7 | 1250 | 0.021 | 0.029 | 0.058 | 6.629 | 0.077 |
| I8 | 1250 | 0.022 | 0.031 | 0.092 | 13.803 | 0.053 |
| R0_tls_h | 52408 | 0.021 | 0.075 | 1.402 | 13.018 | 0.129 |
