TSC freq calibrated: 2.000 GHz

| primitive                        |     N |  p50ns |  p99ns |   maxns |   p50c |   p99c |    maxc |
|----------------------------------|-------|--------|--------|---------|--------|--------|---------|
| mfence (alone)                   | 10000 |   23.0 |   24.0 |  7447.0 |     46 |     48 |   14894 |
| sfence (alone)                   | 10000 |   13.0 |   14.0 |    15.0 |     26 |     28 |      30 |
| lfence (alone)                   | 10000 |   16.0 |   17.0 |    18.0 |     32 |     34 |      36 |
| clflushopt+sfence (CXL)          | 10000 |   98.0 |  103.0 |   109.0 |    196 |    206 |     218 |
| LD-CXL (after flush+mfence)      | 10000 |  602.0 |  897.0 |  7342.0 |   1204 |   1794 |   14684 |
| ST-CXL+flush+sfence              | 10000 |   15.0 |   22.0 |   463.0 |     30 |     44 |     926 |
| CXL atomic fetch_add (no flush)  | 10000 |   17.0 |   17.0 |  1433.0 |     34 |     34 |    2866 |
| CXL atomic fetch_add+flush+sfence | 10000 | 1311.0 | 1594.0 |  6784.0 |   2622 |   3188 |   13568 |
| spinlock uncontested (lock+unlock) | 10000 |   29.0 |   30.0 |  1714.0 |     58 |     60 |    3428 |
| spinlock contested T=2           |  2000 |  320.0 | 3276.0 |  7231.0 |    640 |   6552 |   14462 |
| spinlock contested T=4           |  4000 | 1715.0 | 13815.0 | 134680.0 |   3430 |  27630 |  269360 |
| spinlock contested T=8           |  8000 | 2775.0 | 54361.0 | 256154.0 |   5550 | 108722 |  512308 |
| spinlock contested T=16          | 16000 | 5391.0 | 187130.0 | 1470418.0 |  10782 | 374260 | 2940830 |
| spinlock contested T=32          | 32000 | 6625.0 | 414940.0 | 6105515.0 |  13250 | 829880 | 12211002 |
| spinlock contested T=64          | 64000 | 9097.0 | 691027.0 | 29928296.0 |  18194 | 1382052 | 59856454 |
