TSC freq calibrated: 2.000 GHz

| primitive                        |     N |  p50ns |  p99ns |   maxns |   p50c |   p99c |    maxc |
|----------------------------------|-------|--------|--------|---------|--------|--------|---------|
| mfence (alone)                   | 10000 |   23.0 |   24.0 |    25.0 |     46 |     48 |      50 |
| sfence (alone)                   | 10000 |   13.0 |   14.0 |    15.0 |     26 |     28 |      30 |
| lfence (alone)                   | 10000 |   16.0 |   17.0 |    18.0 |     32 |     34 |      36 |
| clflushopt+sfence (CXL)          | 10000 |   53.0 |   57.0 |    67.0 |    106 |    114 |     134 |
| LD-CXL (after flush+mfence)      | 10000 |  669.0 |  902.0 | 11626.0 |   1338 |   1804 |   23252 |
| ST-CXL+flush+sfence              | 10000 |   16.0 |   22.0 |   364.0 |     32 |     44 |     728 |
| CXL atomic fetch_add (no flush)  | 10000 |   17.0 |   17.0 |  1393.0 |     34 |     34 |    2786 |
| CXL atomic fetch_add+flush+sfence | 10000 | 1425.0 | 1771.0 | 11066.0 |   2850 |   3542 |   22132 |
| spinlock uncontested (lock+unlock) | 10000 |   29.0 |   30.0 |  1327.0 |     58 |     60 |    2654 |
| spinlock contested T=2           |  2000 |   90.0 | 2044.0 |  5305.0 |    180 |   4088 |   10610 |
| spinlock contested T=4           |  4000 |   90.0 | 1939.0 |  4020.0 |    180 |   3878 |    8040 |
| spinlock contested T=8           |  8000 | 2090.0 | 38890.0 | 154840.0 |   4180 |  77780 |  309680 |
| spinlock contested T=16          | 16000 | 3749.0 | 169185.0 | 502359.0 |   7498 | 338370 | 1004718 |
| spinlock contested T=32          | 32000 | 5250.0 | 366215.0 | 1897395.0 |  10500 | 732430 | 3794790 |
| spinlock contested T=64          | 64000 | 9033.0 | 711759.0 | 28215988.0 |  18066 | 1423518 | 56431964 |
