op,direction,count,avg_us,p50_us,p90_us,p99_us,p999_us,min_us,max_us
insert,all,100000,4.349,4.940,7.437,8.028,10.746,0.761,478.698
insert,local,50008,1.662,1.863,2.077,2.278,2.778,0.761,7.974
insert,xhost,49992,7.037,6.971,7.618,8.262,11.629,5.391,478.698
update,all,100000,6.954,5.304,12.840,13.549,16.430,0.770,119.343
update,local,50008,1.541,1.863,2.079,2.263,2.772,0.770,27.901
update,xhost,49992,12.370,12.340,13.097,13.737,17.774,10.622,119.343
search,all,100000,5.012,1.910,9.984,10.531,12.849,0.043,62.849
search,local,50008,0.332,0.214,0.808,1.425,1.593,0.043,4.554
search,xhost,49992,9.693,9.627,10.191,10.664,13.929,8.282,62.849
delete,all,100000,3.098,3.813,5.881,6.281,7.959,0.063,137.673
delete,local,50008,0.757,1.181,1.347,1.461,1.551,0.063,5.315
delete,xhost,49992,5.440,5.389,6.024,6.412,8.812,4.469,137.673
