insert,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
insert,INS_pre_flush,100000,114,106,163,254,265,57,8162
insert,INS_pre_scan,100000,1650,1499,2968,3884,4509,623,329036
insert,INS_alloc,100000,717,698,723,876,2974,32,251126
insert,INS_write_pair,100000,755,750,754,759,833,33,246372
insert,INS_lock,100000,4605,4570,4809,5418,7745,3790,247171
insert,INS_verify,100000,882,869,947,1066,3759,699,243238
insert,INS_publish,100000,22,17,17,19,29,15,247318
insert,INS_unlock,100000,21,16,18,19,98,14,237554
insert,INS_cache,100000,2385,2271,2398,5487,11031,715,276338
insert,INS_TOTAL,100000,11170,10942,12440,14957,29701,8440,2048543
insert,SRC_cache_lookup,100000,26,27,27,30,84,21,4884
insert,SRC_fast_path,100000,1499,1463,1593,1738,6265,1345,284781
insert,SRC_cache_update,100000,27,27,28,29,42,21,18057
insert,SRC_TOTAL,100000,1570,1534,1663,1808,6338,1416,302881
search,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
search,SRC_cache_lookup,100000,26,26,27,28,67,21,5204
search,SRC_fast_path,100000,1482,1462,1573,1704,1894,1354,61868
search,SRC_cache_update,100000,27,27,28,29,41,21,4881
search,SRC_TOTAL,100000,1552,1532,1642,1772,1978,1415,61993
update,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
update,UPD_flush_scan,100000,2605,2486,3908,4830,5525,1440,64317
update,UPD_alloc_write,100000,66,34,35,1396,2722,32,265048
update,UPD_lock,100000,5093,5168,5435,5948,8138,4128,256269
update,UPD_verify,100000,1741,1723,1841,1976,4666,1520,282020
update,UPD_publish,100000,16,15,16,17,21,14,70111
update,UPD_unlock,100000,22,16,17,19,722,14,257365
update,UPD_free,100000,3028,2995,3127,3795,5643,1412,141262
update,UPD_cache,100000,32,25,26,38,208,23,256378
update,UPD_TOTAL,100000,12619,12504,13873,15183,19700,10287,1378222
delete,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
delete,DEL_flush_scan,100000,1666,1654,1776,1916,2031,1469,8660
delete,DEL_lock,100000,4547,4515,4726,4889,7322,4108,802280
delete,DEL_verify,100000,1739,1728,1851,1982,2083,1546,40978
delete,DEL_clear,100000,16,16,17,17,21,15,16247
delete,DEL_unlock,100000,17,16,16,18,31,14,32050
delete,DEL_free,100000,3021,2993,3119,3730,4494,1393,483755
delete,DEL_cache,100000,57,42,114,152,229,38,29183
delete,DEL_TOTAL,100000,11080,11028,11411,11934,15748,10147,935950
