insert,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
insert,INS_pre_flush,100000,174,155,261,284,299,61,5565
insert,INS_pre_scan,100000,702,675,768,861,3106,598,297579
insert,INS_alloc,100000,681,663,692,841,2998,32,248451
insert,INS_write_pair,100000,750,745,749,757,853,41,251510
insert,INS_lock,100000,4589,4554,4814,5353,7928,3694,487435
insert,INS_verify,100000,854,848,929,1049,3737,656,247647
insert,INS_publish,100000,22,17,17,19,30,14,250184
insert,INS_unlock,100000,20,16,17,19,130,14,215224
insert,INS_cache,100000,2414,2301,2446,5590,11164,71,277330
insert,INS_TOTAL,100000,10223,10049,10526,13498,28319,8256,2034495
insert,SRC_cache_lookup,100000,26,27,28,31,92,21,4937
insert,SRC_fast_path,100000,1430,1395,1528,1683,4816,1266,466456
insert,SRC_cache_update,100000,26,27,27,29,42,21,24301
insert,SRC_TOTAL,100000,1500,1465,1597,1749,4922,1327,466540
search,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
search,SRC_cache_lookup,100000,27,27,28,29,60,21,4326
search,SRC_fast_path,100000,1411,1394,1512,1620,1822,1272,63103
search,SRC_cache_update,100000,26,26,27,28,41,21,207
search,SRC_TOTAL,100000,1481,1463,1581,1688,1887,1341,63244
update,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
update,UPD_flush_scan,100000,2565,2438,3799,4821,5783,1406,74014
update,UPD_alloc_write,100000,68,34,36,1400,2771,32,269811
update,UPD_lock,100000,5054,5107,5419,5853,10138,4121,261197
update,UPD_verify,100000,1691,1678,1804,1946,2145,1469,262920
update,UPD_publish,100000,16,15,16,18,22,13,68837
update,UPD_unlock,100000,22,16,17,18,692,14,255161
update,UPD_free,100000,3054,3020,3169,3802,5585,1373,134645
update,UPD_cache,100000,32,25,26,74,255,23,260787
update,UPD_TOTAL,100000,12521,12384,13762,15200,25082,10096,1369209
delete,stage,count,avg_ns,p50_ns,p90_ns,p99_ns,p999_ns,min_ns,max_ns
delete,DEL_flush_scan,100000,1763,1648,2277,3216,3926,1402,65029
delete,DEL_lock,100000,4498,4464,4710,4871,7342,4060,782889
delete,DEL_verify,100000,1684,1676,1804,1948,2066,1470,36107
delete,DEL_clear,100000,17,17,17,18,21,15,16274
delete,DEL_unlock,100000,17,16,17,17,32,14,32332
delete,DEL_free,100000,3048,3022,3165,3774,4490,1373,95535
delete,DEL_cache,100000,59,42,123,160,285,38,29478
delete,DEL_TOTAL,100000,11104,10991,11670,12812,16271,9942,916674
