host,num_clients,total_clients,insert_tpt,search_tpt,update_tpt,delete_tpt
g1,1,2,88580,394583,71643,80000
g2,1,2,81802,398635,72060,80000
g1,2,4,169846,762538,137671,160000
g2,2,4,161026,752638,138320,160000
g1,3,6,250406,1123459,203443,240000
g2,3,6,243206,1125104,206030,240000
g1,4,8,331254,1482876,269604,320000
g2,4,8,325924,1483682,270924,319472
g1,8,16,632822,3045811,496457,640000
g2,8,16,635706,2988186,551571,640000
g1,16,32,1231418,5650564,1062654,1280000
g2,16,32,597190,5630843,0,554982
g1,32,64,1652604,9570888,641378,1832620
g2,32,64,0,0,0,2388
g1,64,128,1822208,14357533,1108798,1823984
g2,64,128,0,0,0,11024
