host,workload,num_clients,total_clients,wall_ms,trans_ops,trans_tpt
g1,a,1,2,5000,567156,113431
g2,a,1,2,5000,547965,109593
g1,a,2,4,5000,1083474,216694
g2,a,2,4,5000,1052711,210542
g1,a,3,6,5000,1666316,333263
g2,a,3,6,5000,1524913,304982
g1,a,4,8,5000,2113114,422622
g2,a,4,8,5000,2072858,414571
g1,a,8,16,5000,3847524,769504
g2,a,8,16,5000,3318797,663759
g1,a,16,32,5000,6994361,1398872
g2,a,16,32,5000,6873653,1374730
g1,a,32,64,5008,7190000,1435702
g2,a,32,64,5000,5379210,1075842
g1,a,64,128,5015,1592854,317617
g2,a,64,128,5000,2993606,598721
g1,b,1,2,5000,1665869,333173
g2,b,1,2,5000,366850,73370
g1,b,2,4,5000,3229501,645900
g2,b,2,4,5000,876092,175218
g1,b,3,6,5000,4778346,955669
g2,b,3,6,5000,1472661,294532
g1,b,4,8,5000,6288102,1257620
g2,b,4,8,5000,2076331,415266
g1,b,8,16,5000,6191653,1238330
g2,b,8,16,5000,6174813,1234962
g1,b,16,32,5000,7639304,1527860
g2,b,16,32,5000,7655926,1531185
g1,b,32,64,5000,10321229,2064245
g2,b,32,64,5000,10465165,2093033
g1,b,64,128,5000,14298647,2859729
g2,b,64,128,5000,14206076,2841215
g1,c,1,2,5000,2033780,406756
g2,c,1,2,5000,2011016,402203
g1,c,2,4,5000,3897765,779553
g2,c,2,4,5000,3848893,769778
g1,c,3,6,5000,5729231,1145846
g2,c,3,6,5000,5640074,1128014
g1,c,4,8,5000,7551011,1510202
g2,c,4,8,5000,7417657,1483531
g1,c,8,16,5000,14959978,2991995
g2,c,8,16,5000,14706453,2941290
g1,c,16,32,5000,25426996,5085399
g2,c,16,32,5000,24023027,4804605
g1,c,32,64,5000,34757701,6951540
g2,c,32,64,5000,30453952,6090790
g1,c,64,128,5000,31604371,6320874
g2,c,64,128,5000,30057670,6011534
g1,d,1,2,5000,1814283,362856
g2,d,1,2,5000,1762777,352555
g1,d,2,4,5000,3617759,723551
g2,d,2,4,5000,3566190,713238
g1,d,3,6,5000,5339226,1067845
g2,d,3,6,5000,5327295,1065459
g1,d,4,8,5000,7101140,1420228
g2,d,4,8,5000,7035316,1407063
g1,d,8,16,5000,13989577,2797915
g2,d,8,16,5000,14202492,2840498
g1,d,16,32,5000,23664820,4732964
g2,d,16,32,5000,23540294,4708058
g1,d,32,64,5000,32985873,6597174
g2,d,32,64,5000,33460523,6692104
g1,d,64,128,5000,33238100,6647620
g2,d,64,128,5000,34071014,6814202
