T,N,workload,load_thpt,trans_thpt,w_p50_ns,w_p99_ns,r_p50_ns,r_p99_ns,load_ops,trans_ops
1,1,A_big,46961,199091,10091,15662,1708,5695,100000,200000
1,2,A_big,57804,348356,11708,17363,2469,6143,100000,200000
2,1,A_big,63967,371900,10998,15664,2268,6077,100000,200000
2,2,A_big,74450,654986,12224,18631,2487,6712,100000,200000
4,1,A_big,73829,645353,12505,18776,2566,6679,100000,200000
4,2,A_big,83253,1201358,13136,20193,2589,7000,100000,200000
8,1,A_big,81054,1239491,12838,19167,2675,6784,100000,200000
8,2,A_big,87167,2325028,13805,20228,2680,7135,100000,200000
16,1,A_big,78468,2366385,13634,20515,2766,7026,100000,200000
16,2,A_big,53819,6509865,2901,19708,2247,5896,100000,200000
32,1,A_big,62275,5562163,2597,20082,2017,5728,100000,200000
32,2,A_big,80129,21595847,1418,20148,1412,4657,100000,200000
1,1,C_big,59535,447839,0,0,1648,5811,100000,200000
1,2,C_big,71324,723437,0,0,2392,6376,100000,200000
2,1,C_big,75205,705166,0,0,2448,6512,100000,200000
2,2,C_big,88167,1434925,0,0,2387,6496,100000,200000
4,1,C_big,82934,1389666,0,0,2432,6688,100000,200000
4,2,C_big,93928,2746472,0,0,2380,6676,100000,200000
8,1,C_big,88633,2726765,0,0,2449,6781,100000,200000
8,2,C_big,81433,5259124,0,0,2593,6891,100000,200000
16,1,C_big,83451,5213859,0,0,2673,7026,100000,200000
16,2,C_big,54098,12774228,0,0,2263,5975,100000,200000
32,1,C_big,61980,14621545,0,0,1997,5367,100000,200000
32,2,C_big,83322,36152571,0,0,1440,4495,100000,200000
