rep,N,race_us,reader_iters,writer_iters,OBS_A,OBS_B,OBS_RESET,TORN_AB,TORN_OTHER,CORRUPT
1,1,2000000,2516570,686054,641221,1875349,0,0,0,0
2,1,2000000,2736697,686198,688600,2048097,0,0,0,0
3,1,2000000,2569499,680061,600054,1969445,0,0,0,0
1,8,2000000,2443377,658028,613605,1829772,0,0,0,0
2,8,2000000,2412409,660009,603501,1808908,0,0,0,0
3,8,2000000,2559830,686439,620598,1939232,0,0,0,0
1,64,2000000,2374742,686022,562858,1811884,0,0,0,0
2,64,2000000,2292017,685999,582086,1709931,0,0,0,0
3,64,2000000,2292068,686196,581750,1710318,0,0,0,0
1,128,2000000,2059026,681577,536039,1517614,0,5373,0,0
2,128,2000000,2242992,687600,563804,1672800,0,6388,0,0
3,128,2000000,2058799,647796,478849,1558867,0,21083,0,0
