rep,N,GAP,store,fence,K,BOTH_OK,A_LOST,B_LOST,BOTH_LOST,INTRA_INTL,CORRUPT,wall_us
1,8,0,memcpy,clflush_sfence,100000,1264,89309,0,0,0,9427,1578751
2,8,0,memcpy,clflush_sfence,100000,31742,68232,0,0,0,26,1592270
3,8,0,memcpy,clflush_sfence,100000,35604,64326,0,0,0,70,1587380
1,8,0,movnti,clflush_sfence,100000,100000,0,0,0,0,0,1568537
2,8,0,movnti,clflush_sfence,100000,100000,0,0,0,0,0,1505703
3,8,0,movnti,clflush_sfence,100000,100000,0,0,0,0,0,1523955
1,8,0,movnti,sfence,100000,100000,0,0,0,0,0,1526496
2,8,0,movnti,sfence,100000,100000,0,0,0,0,0,1541977
3,8,0,movnti,sfence,100000,100000,0,0,0,0,0,1551692
1,8,8,memcpy,clflush_sfence,100000,30082,69888,30,0,0,0,1600038
2,8,8,memcpy,clflush_sfence,100000,23472,76501,27,0,0,0,1628114
3,8,8,memcpy,clflush_sfence,100000,17996,81982,22,0,0,0,1608678
1,8,48,memcpy,clflush_sfence,100000,18361,81597,0,0,0,42,1572913
2,8,48,memcpy,clflush_sfence,100000,15150,84818,0,0,0,32,1588819
3,8,48,memcpy,clflush_sfence,100000,30617,69355,0,0,0,28,1625086
