n,align,store,fence,loc,K,rounds,OW_A,OW_B,OW_OTHER,INTERLEAVE,CORRUPT,wall_us,per_cl
1,aligned,memcpy,clflush_sfence,same_cl,1000,1000,0,1000,0,0,0,1019170,""
2,aligned,memcpy,clflush_sfence,same_cl,1000,1000,0,1000,0,0,0,1023082,""
4,aligned,memcpy,clflush_sfence,same_cl,1000,1000,0,1000,0,0,0,1039131,""
8,aligned,memcpy,clflush_sfence,same_cl,1000,1000,0,1000,0,0,0,1020305,""
16,aligned,memcpy,clflush_sfence,same_cl,1000,1000,0,1000,0,0,0,1031129,""
32,aligned,memcpy,clflush_sfence,same_cl,1000,1000,0,1000,0,0,0,1006313,""
64,aligned,memcpy,clflush_sfence,same_cl,1000,1000,0,1000,0,0,0,1018700,""
128,aligned,memcpy,clflush_sfence,same_cl,1000,1000,11,983,0,6,0,1039102,"cl0=OW_A=15,OW_B=985,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=13,OW_B=987,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
256,aligned,memcpy,clflush_sfence,same_cl,1000,1000,94,805,0,101,0,1016229,"cl0=OW_A=162,OW_B=838,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=126,OW_B=874,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl2=OW_A=126,OW_B=874,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl3=OW_A=123,OW_B=877,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
512,aligned,memcpy,clflush_sfence,same_cl,1000,1000,60,816,0,124,0,994657,"cl0=OW_A=144,OW_B=856,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=116,OW_B=884,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl2=OW_A=152,OW_B=848,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl3=OW_A=95,OW_B=905,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl4=OW_A=130,OW_B=870,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl5=OW_A=155,OW_B=845,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl6=OW_A=100,OW_B=900,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl7=OW_A=77,OW_B=923,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
1024,aligned,memcpy,clflush_sfence,same_cl,1000,1000,1,853,0,146,0,992018,"cl0=OW_A=65,OW_B=935,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=70,OW_B=930,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl2=OW_A=74,OW_B=926,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl3=OW_A=43,OW_B=957,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl4=OW_A=108,OW_B=892,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl5=OW_A=52,OW_B=948,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl6=OW_A=37,OW_B=963,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl7=OW_A=13,OW_B=987,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl8=OW_A=6,OW_B=994,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl9=OW_A=3,OW_B=997,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl10=OW_A=2,OW_B=998,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl11=OW_A=1,OW_B=999,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl12=OW_A=2,OW_B=998,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl13=OW_A=3,OW_B=997,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl14=OW_A=2,OW_B=998,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl15=OW_A=3,OW_B=997,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
