n,align,store,fence,loc,K,rounds,OW_A,OW_B,OW_OTHER,INTERLEAVE,CORRUPT,wall_us,per_cl
1,aligned,memcpy,clflush_sfence,same_cl,1000,1000,0,1000,0,0,0,1019429,""
2,aligned,memcpy,clflush_sfence,same_cl,1000,1000,1,999,0,0,0,1006722,""
4,aligned,memcpy,clflush_sfence,same_cl,1000,1000,0,1000,0,0,0,1027279,""
8,aligned,memcpy,clflush_sfence,same_cl,1000,1000,1,999,0,0,0,1052929,""
16,aligned,memcpy,clflush_sfence,same_cl,1000,1000,0,1000,0,0,0,1039767,""
32,aligned,memcpy,clflush_sfence,same_cl,1000,1000,1,999,0,0,0,1051276,""
64,aligned,memcpy,clflush_sfence,same_cl,1000,1000,1,999,0,0,0,1033719,""
128,aligned,memcpy,clflush_sfence,same_cl,1000,1000,3,997,0,0,0,947940,"cl0=OW_A=3,OW_B=997,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=3,OW_B=997,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
256,aligned,memcpy,clflush_sfence,same_cl,1000,1000,9,941,0,50,0,1031960,"cl0=OW_A=58,OW_B=942,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=36,OW_B=964,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl2=OW_A=22,OW_B=978,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl3=OW_A=9,OW_B=991,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
512,aligned,memcpy,clflush_sfence,same_cl,1000,1000,99,774,0,127,0,1027406,"cl0=OW_A=186,OW_B=814,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=216,OW_B=784,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl2=OW_A=168,OW_B=832,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl3=OW_A=175,OW_B=825,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl4=OW_A=139,OW_B=861,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl5=OW_A=149,OW_B=851,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl6=OW_A=108,OW_B=892,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl7=OW_A=115,OW_B=885,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
1024,aligned,memcpy,clflush_sfence,same_cl,1000,1000,5,902,0,93,0,1036640,"cl0=OW_A=31,OW_B=969,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=30,OW_B=970,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl2=OW_A=33,OW_B=967,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl3=OW_A=22,OW_B=978,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl4=OW_A=44,OW_B=956,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl5=OW_A=46,OW_B=954,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl6=OW_A=32,OW_B=968,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl7=OW_A=17,OW_B=983,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl8=OW_A=55,OW_B=945,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl9=OW_A=30,OW_B=970,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl10=OW_A=30,OW_B=970,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl11=OW_A=16,OW_B=984,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl12=OW_A=33,OW_B=967,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl13=OW_A=39,OW_B=961,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl14=OW_A=39,OW_B=961,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl15=OW_A=32,OW_B=968,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
