n,align,store,fence,loc,mode,K,rounds,OW_A,OW_B,OW_OTHER,INTERLEAVE,CORRUPT,wall_us,per_cl
128,aligned,memcpy,clflush_sfence,same_cl,barrier,1000,1000,9,986,0,5,0,981826,"cl0=OW_A=14,OW_B=986,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=9,OW_B=991,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
128,aligned,memcpy,clflush_sfence,same_cl,async,1000,1000,3,997,0,0,0,1232922,"cl0=OW_A=3,OW_B=997,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=3,OW_B=997,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
128,aligned,movnti,clflush_sfence,same_cl,barrier,1000,1000,0,1000,0,0,0,1027901,"cl0=OW_A=0,OW_B=1000,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=0,OW_B=1000,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
128,aligned,movnti,clflush_sfence,same_cl,async,1000,1000,3,997,0,0,0,1191269,"cl0=OW_A=3,OW_B=997,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=3,OW_B=997,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
192,aligned,memcpy,clflush_sfence,same_cl,barrier,1000,1000,0,1000,0,0,0,1024098,"cl0=OW_A=0,OW_B=1000,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=0,OW_B=1000,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl2=OW_A=0,OW_B=1000,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
192,aligned,memcpy,clflush_sfence,same_cl,async,1000,1000,2,998,0,0,0,1237767,"cl0=OW_A=2,OW_B=998,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=2,OW_B=998,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl2=OW_A=2,OW_B=998,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
192,aligned,movnti,clflush_sfence,same_cl,barrier,1000,1000,0,1000,0,0,0,1034218,"cl0=OW_A=0,OW_B=1000,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=0,OW_B=1000,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl2=OW_A=0,OW_B=1000,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
192,aligned,movnti,clflush_sfence,same_cl,async,1000,1000,3,997,0,0,0,1249623,"cl0=OW_A=3,OW_B=997,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=3,OW_B=997,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl2=OW_A=3,OW_B=997,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
256,aligned,memcpy,clflush_sfence,same_cl,barrier,1000,1000,23,921,0,56,0,986721,"cl0=OW_A=75,OW_B=925,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=45,OW_B=955,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl2=OW_A=35,OW_B=965,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl3=OW_A=25,OW_B=975,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
256,aligned,memcpy,clflush_sfence,same_cl,async,1000,1000,2,998,0,0,0,1227191,"cl0=OW_A=2,OW_B=998,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl1=OW_A=2,OW_B=998,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl2=OW_A=2,OW_B=998,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0 cl3=OW_A=2,OW_B=998,OW_OTHER=0,INTERLEAVE=0,CORRUPT=0"
